id,fromAccountNo,ToAccountNo,date,amount,type,description,userId
1,CUR2960488639,CUR3342331444,2025-08-09T01:49:42Z,4008.08,Credit,Internet bill,1
2,BUS8995059760,CUR3342331444,2024-10-11T16:06:48Z,2253.1,Credit,Consulting fee,1
3,CUR3342331444,SAV3691864041,2024-05-21T23:12:59Z,1376.61,Debit,Restaurant,1
4,CUR3342331444,CUR1429416213,2024-08-08T08:32:15Z,407.49,Debit,Water bill,1
5,CUR7076811348,CUR3342331444,2024-04-18T13:56:45Z,1657.75,Credit,Interest credit,1
6,CUR3342331444,CUR8616379926,2025-05-01T02:16:01Z,2922.48,Debit,Medical bill,1
7,CUR3342331444,CUR2188332531,2023-02-10T20:57:36Z,1496.57,Debit,Insurance premium,1
8,BUS6587537178,CUR3342331444,2025-05-08T19:35:45Z,4489.57,Credit,Merchant payment,1
9,CUR3342331444,CUR9520940324,2024-03-25T09:56:14Z,3346.02,Debit,Freelance project,1
10,BUS3294043548,CUR3342331444,2025-04-08T06:00:32Z,4535.11,Credit,Tax payment,1
11,SAV2461042543,CUR3342331444,2023-02-25T03:03:23Z,912.74,Credit,ATM withdrawal,1
12,CUR3342331444,CUR5791662169,2025-02-15T11:55:06Z,4398.8,Debit,ATM withdrawal,1
13,CUR1252860896,CUR3342331444,2025-05-13T09:11:05Z,2699.4,Credit,Refund,1
14,CUR3342331444,CUR4239406957,2024-04-04T23:40:15Z,4748.31,Debit,Subscription renewal,1
15,CUR3342331444,CUR2472659626,2023-02-11T22:37:19Z,576.38,Debit,Subscription renewal,1
16,BUS6587537178,CUR3342331444,2025-08-10T09:19:46Z,4818.86,Credit,Medical bill,1
17,SAV4131575764,CUR3342331444,2023-08-23T05:57:45Z,2881.1,Credit,Insurance premium,1
18,CUR3342331444,BUS2043030161,2025-03-23T07:13:15Z,3487.48,Debit,Deposit,1
19,CUR7900268326,CUR3342331444,2023-09-05T20:36:17Z,3309.3,Credit,Restaurant,1
20,CUR3342331444,SAV5748253283,2025-11-02T23:34:34Z,4804.13,Debit,Phone bill,1
21,CUR7635473142,BUS7371573279,2025-07-30T05:34:12Z,2180.69,Debit,Gym membership,2
22,CUR2936179853,CUR7635473142,2024-07-03T11:44:05Z,3753.63,Credit,Tax payment,2
23,CUR7635473142,CUR3094011037,2025-02-15T12:14:52Z,1777.35,Debit,ATM withdrawal,2
24,SAV3387104291,CUR7635473142,2024-11-28T10:10:55Z,2585.55,Credit,Subscription renewal,2
25,CUR5791662169,CUR7635473142,2023-06-25T08:47:15Z,1205.42,Credit,Merchant payment,2
26,CUR3553440342,CUR7635473142,2025-10-02T16:19:03Z,2024.98,Credit,Online purchase,2
27,CUR7635473142,CUR2188332531,2024-09-19T21:10:25Z,2130.39,Debit,Gym membership,2
28,CUR1298737106,CUR7635473142,2024-11-08T12:48:32Z,1156.54,Credit,Gym membership,2
29,CUR7635473142,CUR5791662169,2024-01-30T11:29:19Z,3452.37,Debit,Subscription renewal,2
30,CUR7635473142,CUR5791662169,2024-03-19T17:37:44Z,2625.56,Debit,Deposit,2
31,CUR7635473142,SAV4131575764,2023-07-25T07:04:03Z,75.67,Debit,Payroll,2
32,CUR7635473142,SAV4698408854,2023-09-17T09:59:14Z,3488.6,Debit,Water bill,2
33,SAV7980611182,CUR7635473142,2025-10-02T03:44:06Z,2396.18,Credit,Rental income,2
34,CUR7635473142,CUR4530959836,2024-01-13T01:52:14Z,2006.53,Debit,Restaurant,2
35,CUR7635473142,SAV4131575764,2023-04-20T05:31:27Z,430.48,Debit,Online purchase,2
36,BUS7539399243,CUR7635473142,2023-08-31T20:19:07Z,2255.32,Credit,Interest credit,2
37,CUR1667779376,CUR7635473142,2024-08-31T21:25:39Z,305.85,Credit,Gym membership,2
38,CUR1240251661,CUR7635473142,2023-07-23T07:33:55Z,789.5,Credit,Loan repayment,2
39,CUR7635473142,BUS6587537178,2023-06-03T05:41:57Z,2352.21,Debit,Grocery payment,2
40,SAV9895649328,CUR7635473142,2024-04-19T10:29:22Z,1170.95,Credit,ATM withdrawal,2
41,CUR1667779376,BUS7567496105,2024-02-10T15:28:43Z,4542.52,Debit,Bonus payment,3
42,CUR1667779376,BUS6534540349,2023-10-19T02:35:59Z,626.15,Debit,Medical bill,3
43,CUR2926780541,CUR1667779376,2024-09-14T14:39:17Z,2191.61,Credit,Service charge,3
44,CUR1392245997,CUR1667779376,2023-03-23T15:43:46Z,4809.75,Credit,Bonus payment,3
45,CUR8093179263,CUR1667779376,2023-02-12T09:48:45Z,4580.78,Credit,Loan repayment,3
46,SAV6789448659,CUR1667779376,2025-06-11T23:06:42Z,1669.88,Credit,Internet bill,3
47,CUR1667779376,SAV5452580287,2023-08-03T05:51:19Z,444.86,Debit,ATM withdrawal,3
48,SAV3880327491,CUR1667779376,2024-10-24T04:13:14Z,4125.51,Credit,Salary,3
49,CUR1667779376,CUR5791662169,2025-08-04T15:02:45Z,2494.97,Debit,Interest credit,3
50,CUR1667779376,SAV4698408854,2023-04-16T07:24:40Z,2193.39,Debit,Medical bill,3
51,CUR1667779376,CUR4048494026,2025-09-19T04:25:15Z,1557.2,Debit,Salary,3
52,CUR1667779376,CUR4574027737,2025-04-15T03:23:37Z,2494.39,Debit,Medical bill,3
53,SAV7980611182,CUR1667779376,2024-08-20T18:31:38Z,4901.32,Credit,Online purchase,3
54,CUR1667779376,BUS6587537178,2025-07-24T20:04:15Z,2543.66,Debit,Water bill,3
55,SAV7475684019,CUR1667779376,2023-05-23T10:03:28Z,4103.64,Credit,Deposit,3
56,CUR7375197714,CUR1667779376,2024-09-03T21:22:11Z,1665.54,Credit,Consulting fee,3
57,BUS2644847276,CUR1667779376,2025-02-11T16:34:42Z,4280.78,Credit,Transfer to savings,3
58,SAV5212581851,CUR1667779376,2023-03-31T11:35:04Z,2479.17,Credit,Grocery payment,3
59,SAV4131356954,CUR1667779376,2023-09-16T18:17:16Z,4371.58,Credit,Interest credit,3
60,BUS7567496105,CUR1667779376,2023-07-24T19:08:57Z,2052.84,Credit,Phone bill,3
61,SAV8429141456,SAV7586857685,2023-11-13T02:43:27Z,4770.93,Debit,Phone bill,4
62,SAV8429141456,CUR1338258951,2025-09-26T19:41:52Z,3423.58,Debit,Deposit,4
63,SAV8429141456,CUR1338258951,2024-04-10T03:17:26Z,3520.93,Debit,Electricity bill,4
64,CUR5535997538,SAV8429141456,2025-06-27T06:03:25Z,1795.52,Credit,Transfer to savings,4
65,CUR7635473142,SAV8429141456,2023-10-26T08:53:27Z,854.07,Credit,Restaurant,4
66,SAV7271954644,SAV8429141456,2025-02-22T22:33:46Z,719.87,Credit,Interest credit,4
67,SAV8429141456,SAV2461042543,2024-06-04T16:43:56Z,4506.54,Debit,Internet bill,4
68,SAV8429141456,SAV7271954644,2023-11-20T02:41:21Z,1499.28,Debit,Transfer to savings,4
69,SAV3181106786,SAV8429141456,2024-05-27T16:37:58Z,4267.41,Credit,Electricity bill,4
70,CUR3030106617,SAV8429141456,2024-04-30T13:53:06Z,1479.68,Credit,Bonus payment,4
71,SAV8429141456,BUS5181592277,2025-03-21T09:59:36Z,4553.53,Debit,Gym membership,4
72,CUR2188332531,SAV8429141456,2025-10-14T10:25:12Z,1098.93,Credit,Subscription renewal,4
73,SAV4131356954,SAV8429141456,2024-05-29T00:00:00Z,4517.5,Credit,Phone bill,4
74,CUR5972484792,SAV8429141456,2023-03-22T11:14:52Z,3663.14,Credit,Restaurant,4
75,CUR1547374338,SAV8429141456,2024-08-27T11:53:43Z,3933.63,Credit,Refund,4
76,SAV7980611182,SAV8429141456,2025-10-24T09:55:20Z,4837.08,Credit,Deposit,4
77,SAV8429141456,CUR5791662169,2024-11-24T04:11:35Z,4832.67,Debit,Stock sale proceeds,4
78,SAV8429141456,CUR5825776872,2025-03-24T20:17:28Z,1846.09,Debit,Gym membership,4
79,SAV8429141456,SAV6299224734,2024-06-20T21:16:59Z,130.0,Debit,Payroll,4
80,SAV8429141456,SAV2461042543,2024-11-02T22:12:44Z,4547.39,Debit,Deposit,4
81,CUR1298737106,SAV9572442790,2025-04-16T04:14:52Z,585.02,Debit,Online purchase,5
82,CUR1298737106,BUS7615076397,2023-10-05T14:09:00Z,2938.77,Debit,Gym membership,5
83,BUS9381721143,CUR1298737106,2023-11-13T15:06:19Z,168.42,Credit,Refund,5
84,CUR1298737106,CUR5972484792,2024-03-20T16:08:35Z,501.28,Debit,Internet bill,5
85,CUR7004964045,CUR1298737106,2025-01-22T19:49:24Z,953.09,Credit,Electricity bill,5
86,BUS5170814022,CUR1298737106,2025-07-20T03:20:15Z,257.64,Credit,Rental income,5
87,CUR5791662169,CUR1298737106,2024-05-13T04:35:05Z,2773.27,Credit,Tax payment,5
88,CUR1298737106,BUS6587537178,2024-03-18T08:28:59Z,19.16,Debit,Stock sale proceeds,5
89,CUR1110724913,CUR1298737106,2023-10-24T04:43:58Z,79.23,Credit,Freelance project,5
90,CUR1298737106,CUR7380780055,2024-05-02T21:26:22Z,638.16,Debit,Transfer to savings,5
91,CUR1298737106,BUS3549776132,2023-08-21T02:18:50Z,2262.77,Debit,Online purchase,5
92,CUR3342331444,CUR1298737106,2023-03-30T23:59:23Z,308.82,Credit,Merchant payment,5
93,CUR7805745017,CUR1298737106,2025-04-02T15:31:12Z,372.09,Credit,Restaurant,5
94,CUR1298737106,CUR1667779376,2024-10-21T22:08:50Z,3167.22,Debit,Payroll,5
95,SAV2461042543,CUR1298737106,2024-10-27T13:52:05Z,2530.23,Credit,Transfer to savings,5
96,BUS6218484323,CUR1298737106,2023-07-23T04:09:56Z,2260.52,Credit,Online purchase,5
97,SAV7418301077,CUR1298737106,2025-04-27T12:20:24Z,479.95,Credit,Transfer to savings,5
98,CUR1298737106,SAV7980611182,2024-10-02T09:16:48Z,340.33,Debit,Bonus payment,5
99,CUR1298737106,SAV4486522557,2023-06-24T03:23:39Z,2784.07,Debit,Tax payment,5
100,CUR1298737106,SAV4096932037,2024-11-06T04:27:01Z,4842.15,Debit,Service charge,5
101,SAV8877444318,BUS7567496105,2024-10-01T12:48:10Z,3285.4,Debit,Online purchase,6
102,CUR5791662169,SAV8877444318,2023-08-10T12:44:50Z,1396.45,Credit,Online purchase,6
